node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
97 98 6 0.9944 -1.3125 -5.5013 1.1456 -1.9120 -6.2872 0.0449 1.0000 238.0000 23.8000 0.0000 13.1038 2.0000 
98 99 6 1.1456 -1.9120 -6.2872 1.3059 -2.5471 -7.0429 0.0449 1.0000 238.0000 23.8000 0.0000 15.5760 2.0000 
99 100 6 1.3059 -2.5471 -7.0429 1.4081 -3.2087 -7.7857 0.0449 1.0000 238.0000 23.8000 0.0000 18.7709 2.0000 
100 101 6 1.4081 -3.2087 -7.7857 1.4495 -3.3987 -8.0318 0.0449 0.3136 238.0000 23.8000 0.0000 20.0000 2.0000 
101 102 7 0.6587 0.6884 -3.1647 0.2919 0.8810 -4.0749 0.0449 1.0000 238.0000 23.8000 0.0000 8.3404 2.0000 
102 103 7 0.2919 0.8810 -4.0749 -0.0721 1.0742 -4.9860 0.0449 1.0000 238.0000 23.8000 0.0000 10.0532 2.0000 
103 104 7 -0.0721 1.0742 -4.9860 -0.4419 1.3120 -5.8841 0.0449 1.0000 238.0000 23.8000 0.0000 12.0096 2.0000 
104 105 7 -0.4419 1.3120 -5.8841 -0.8294 1.5476 -6.7754 0.0449 1.0000 238.0000 23.8000 0.0000 14.2908 2.0000 
105 106 7 -0.8294 1.5476 -6.7754 -1.2147 1.7849 -7.6672 0.0449 1.0000 238.0000 23.8000 0.0000 17.0262 2.0000 
106 107 7 -1.2147 1.7849 -7.6672 -1.5375 1.9897 -8.4641 0.0449 0.8839 238.0000 23.8000 0.0000 20.0000 2.0000 
107 108 8 0.9678 1.0315 -3.2527 0.9982 1.4203 -2.3319 0.0456 1.0000 238.0000 23.8000 0.0000 8.6010 2.0000 
108 109 8 0.9982 1.4203 -2.3319 1.0383 1.8704 -1.4403 0.0456 0.9995 238.0000 23.8000 0.0000 10.3673 2.0000 
109 110 8 1.0383 1.8704 -1.4403 1.0492 2.3534 -0.5648 0.0456 1.0000 238.0000 23.8000 0.0000 12.3528 2.0000 
110 111 8 1.0492 2.3534 -0.5648 1.1335 3.1935 -0.0290 0.0456 1.0000 238.0000 23.8000 0.0000 14.6199 2.0000 
111 112 8 1.1335 3.1935 -0.0290 1.1870 4.1882 -0.1170 0.0456 1.0000 238.0000 23.8000 0.0000 17.2616 2.0000 
112 113 8 1.1870 4.1882 -0.1170 1.2246 5.0571 -0.2256 0.0456 0.8764 238.0000 23.8000 0.0000 20.0000 2.0000 
113 114 9 1.3160 1.4156 -3.3532 1.2242 1.0393 -4.2751 0.0480 1.0000 238.0000 23.8000 0.0000 8.5180 2.0000 
114 115 9 1.2242 1.0393 -4.2751 1.1221 0.5638 -5.1489 0.0480 1.0000 238.0000 23.8000 0.0000 9.9817 2.0000 
115 116 9 1.1221 0.5638 -5.1489 1.0403 0.0789 -6.0197 0.0480 1.0000 238.0000 23.8000 0.0000 11.6731 2.0000 
116 117 9 1.0403 0.0789 -6.0197 0.9115 -0.4101 -6.8824 0.0480 1.0000 238.0000 23.8000 0.0000 13.6763 2.0000 
117 118 9 0.9115 -0.4101 -6.8824 0.8187 -0.8804 -7.7600 0.0480 1.0000 238.0000 23.8000 0.0000 16.1327 2.0000 
118 119 9 0.8187 -0.8804 -7.7600 0.7576 -1.3925 -8.6168 0.0480 1.0000 238.0000 23.8000 0.0000 19.3093 2.0000 
119 120 9 0.7576 -1.3925 -8.6168 0.7379 -1.4834 -8.7725 0.0480 0.1814 238.0000 23.8000 0.0000 20.0000 2.0000 
120 121 10 1.6485 1.7824 -3.4491 1.9561 1.7661 -2.4978 0.0529 1.0000 238.0000 23.8000 0.0000 8.9417 2.0000 
121 122 10 1.9561 1.7661 -2.4978 2.2640 1.7625 -1.5469 0.0529 0.9994 238.0000 23.8000 0.0000 10.6489 2.0000 
122 123 10 2.2640 1.7625 -1.5469 2.5381 1.7768 -0.5853 0.0529 1.0000 238.0000 23.8000 0.0000 12.6205 2.0000 
123 124 10 2.5381 1.7768 -0.5853 3.3602 1.5908 -0.0473 0.0529 1.0000 238.0000 23.8000 0.0000 14.9535 2.0000 
124 125 10 3.3602 1.5908 -0.0473 4.3527 1.4688 -0.0450 0.0529 1.0000 238.0000 23.8000 0.0000 17.8110 2.0000 
125 126 10 4.3527 1.4688 -0.0450 4.9792 1.4386 -0.0763 0.0529 0.6280 238.0000 23.8000 0.0000 20.0000 2.0000 
126 127 11 2.0010 2.1891 -3.5659 2.3299 1.9180 -4.4706 0.0551 1.0000 238.0000 23.8000 0.0000 8.9634 2.0000 
127 128 11 2.3299 1.9180 -4.4706 2.6100 1.5800 -5.3677 0.0551 0.9988 238.0000 23.8000 0.0000 10.4176 2.0000 
128 129 11 2.6100 1.5800 -5.3677 2.8315 1.2290 -6.2775 0.0551 1.0000 238.0000 23.8000 0.0000 12.0695 2.0000 
129 130 11 2.8315 1.2290 -6.2775 3.0481 0.8860 -7.1915 0.0551 1.0000 238.0000 23.8000 0.0000 13.9814 2.0000 
130 131 11 3.0481 0.8860 -7.1915 3.2146 0.5270 -8.1098 0.0551 1.0000 238.0000 23.8000 0.0000 16.2506 2.0000 
131 132 11 3.2146 0.5270 -8.1098 3.3406 0.1802 -9.0393 0.0551 1.0000 238.0000 23.8000 0.0000 19.0422 2.0000 
132 133 11 3.3406 0.1802 -9.0393 3.3738 0.0798 -9.3131 0.0551 0.2935 238.0000 23.8000 0.0000 20.0000 2.0000 
133 134 12 2.2783 2.5524 -3.6753 2.3578 2.0986 -4.5629 0.0497 1.0000 238.0000 23.8000 0.0000 9.4954 2.0000 
134 135 12 2.3578 2.0986 -4.5629 2.4100 1.6235 -5.4401 0.0497 0.9990 238.0000 23.8000 0.0000 11.3508 2.0000 
135 136 12 2.4100 1.6235 -5.4401 2.5394 1.2209 -6.3463 0.0497 1.0000 238.0000 23.8000 0.0000 13.4947 2.0000 
136 137 12 2.5394 1.2209 -6.3463 2.6900 0.9305 -7.2913 0.0497 1.0000 238.0000 23.8000 0.0000 16.0337 2.0000 
137 138 12 2.6900 0.9305 -7.2913 2.8070 0.6604 -8.2470 0.0497 1.0000 238.0000 23.8000 0.0000 19.1468 2.0000 
138 139 12 2.8070 0.6604 -8.2470 2.8338 0.5978 -8.4739 0.0497 0.2369 238.0000 23.8000 0.0000 20.0000 2.0000 
139 140 13 2.6379 2.9801 -3.8111 2.8471 3.2003 -2.8583 0.0580 1.0000 238.0000 23.8000 0.0000 9.6574 2.0000 
140 141 13 2.8471 3.2003 -2.8583 3.0468 3.3375 -1.8893 0.0580 0.9988 238.0000 23.8000 0.0000 11.3793 2.0000 
141 142 13 3.0468 3.3375 -1.8893 3.2576 3.4636 -0.9200 0.0580 1.0000 238.0000 23.8000 0.0000 13.3046 2.0000 
142 143 13 3.2576 3.4636 -0.9200 3.5607 3.7839 -0.0224 0.0580 1.0000 238.0000 23.8000 0.0000 15.4878 2.0000 
